pref	genome	rate	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
spneumo_pangenome.r_0.7.S_global.k_19.d_na	spneumo_pangenome	0.7	global	19	na	15.82	0.20	15.32	98%	245008	0	16792	15.83154
spneumo_pangenome.r_0.7.S_global.k_21.d_na	spneumo_pangenome	0.7	global	21	na	16.75	0.14	16.37	98%	255664	0	17880	16.756714
spneumo_pangenome.r_0.7.S_global.k_23.d_na	spneumo_pangenome	0.7	global	23	na	19.97	0.17	19.59	98%	266084	0	18976	19.98339
spneumo_pangenome.r_0.8.S_global.k_9.d_na	spneumo_pangenome	0.8	global	9	na	0.11	0.00	0.09	93%	8700	0	248	0.115382
spneumo_pangenome.r_0.8.S_global.k_11.d_na	spneumo_pangenome	0.8	global	11	na	1.71	0.03	1.62	96%	60404	0	3072	1.723573
spneumo_pangenome.r_0.8.S_global.k_13.d_na	spneumo_pangenome	0.8	global	13	na	8.77	0.14	8.46	98%	191680	0	10888	8.779714
spneumo_pangenome.r_0.8.S_global.k_15.d_na	spneumo_pangenome	0.8	global	15	na	13.10	0.09	12.77	98%	245920	0	14384	13.113018
spneumo_pangenome.r_0.8.S_global.k_17.d_na	spneumo_pangenome	0.8	global	17	na	15.67	0.14	15.21	98%	264148	0	15784	15.677023
spneumo_pangenome.r_0.8.S_global.k_19.d_na	spneumo_pangenome	0.8	global	19	na	17.53	0.18	17.04	98%	277084	0	16952	17.533926
spneumo_pangenome.r_0.8.S_global.k_21.d_na	spneumo_pangenome	0.8	global	21	na	19.52	0.12	19.16	98%	289264	0	18024	19.525112
spneumo_pangenome.r_0.8.S_global.k_23.d_na	spneumo_pangenome	0.8	global	23	na	20.93	0.20	20.50	98%	317824	0	19120	20.93373
spneumo_pangenome.r_0.9.S_global.k_9.d_na	spneumo_pangenome	0.9	global	9	na	0.12	0.00	0.10	92%	9332	0	256	0.124919
spneumo_pangenome.r_0.9.S_global.k_11.d_na	spneumo_pangenome	0.9	global	11	na	1.92	0.03	1.81	96%	68800	0	3264	1.930947
spneumo_pangenome.r_0.9.S_global.k_13.d_na	spneumo_pangenome	0.9	global	13	na	9.90	0.11	9.61	98%	213084	0	11352	9.913421
spneumo_pangenome.r_0.9.S_global.k_15.d_na	spneumo_pangenome	0.9	global	15	na	13.56	0.17	13.14	98%	274104	0	14576	13.571006
spneumo_pangenome.r_0.9.S_global.k_17.d_na	spneumo_pangenome	0.9	global	17	na	15.91	0.15	15.48	98%	294600	0	15920	15.923484
spneumo_pangenome.r_0.9.S_global.k_19.d_na	spneumo_pangenome	0.9	global	19	na	18.68	0.19	18.18	98%	325792	0	17088	18.692363
spneumo_pangenome.r_0.9.S_global.k_21.d_na	spneumo_pangenome	0.9	global	21	na	20.63	0.17	20.19	98%	339512	0	18144	20.640977
spneumo_pangenome.r_0.9.S_global.k_23.d_na	spneumo_pangenome	0.9	global	23	na	21.75	0.18	21.29	98%	352916	0	19240	21.761032
