genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref
escherichia_coli.k32	0.01	fmsi	local	31	3	1622989	1000000	15989635	fmsi.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	0.01	fmsi	local	31	4	1622989	1000000	15846027	fmsi.escherichia_coli.k32.S_local.k_31.d_4
escherichia_coli.k32	0.01	fmsi	local	31	5	1622989	1000000	15710755	fmsi.escherichia_coli.k32.S_local.k_31.d_5
escherichia_coli.k32	0.01	cbl	none	31	na	1622989	1000000	16115938	cbl.escherichia_coli.k32.S_none.k_31.d_na
escherichia_coli.k32	0.01	sbwt	none	31	0	1622989	1000000	44664008	sbwt.escherichia_coli.k32.S_none.k_31.d_0
escherichia_coli.k32	0.01	sbwt	none	31	1	1622989	1000000	23342672	sbwt.escherichia_coli.k32.S_none.k_31.d_1
escherichia_coli.k32	0.01	bwa	prophasm	31	na	1622989	1000000	137111400	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na
escherichia_coli.k32	0.1	fmsi	global	15	na	9758419	1000000	12644275	fmsi.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	0.1	fmsi	local	15	1	9758419	1000000	49829219	fmsi.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	0.1	fmsi	local	15	2	9758419	1000000	37470043	fmsi.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	0.1	fmsi	local	15	3	9758419	1000000	25425851	fmsi.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	0.1	fmsi	local	15	4	9758419	1000000	18282147	fmsi.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	0.1	fmsi	local	15	5	9758419	1000000	15460915	fmsi.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	0.1	cbl	none	15	na	9758419	1000000	38951424	cbl.escherichia_coli.k32.S_none.k_15.d_na
escherichia_coli.k32	0.1	sbwt	none	15	0	9758419	1000000	42821304	sbwt.escherichia_coli.k32.S_none.k_15.d_0
escherichia_coli.k32	0.1	sbwt	none	15	1	9758419	1000000	24858984	sbwt.escherichia_coli.k32.S_none.k_15.d_1
escherichia_coli.k32	0.1	bwa	prophasm	15	na	9758419	1000000	480676357	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	0.1	fmsi	global	17	na	12419323	1000000	21100915	fmsi.escherichia_coli.k32.S_global.k_17.d_na
escherichia_coli.k32	0.1	fmsi	local	17	1	12419323	1000000	67611203	fmsi.escherichia_coli.k32.S_local.k_17.d_1
escherichia_coli.k32	0.1	fmsi	local	17	2	12419323	1000000	60120523	fmsi.escherichia_coli.k32.S_local.k_17.d_2
escherichia_coli.k32	0.1	fmsi	local	17	3	12419323	1000000	51680851	fmsi.escherichia_coli.k32.S_local.k_17.d_3
escherichia_coli.k32	0.1	fmsi	local	17	4	12419323	1000000	41852163	fmsi.escherichia_coli.k32.S_local.k_17.d_4
escherichia_coli.k32	0.1	fmsi	local	17	5	12419323	1000000	32686243	fmsi.escherichia_coli.k32.S_local.k_17.d_5
escherichia_coli.k32	0.1	cbl	none	17	na	12419323	1000000	46964103	cbl.escherichia_coli.k32.S_none.k_17.d_na
escherichia_coli.k32	0.1	sbwt	none	17	0	12419323	1000000	80613744	sbwt.escherichia_coli.k32.S_none.k_17.d_0
escherichia_coli.k32	0.1	sbwt	none	17	1	12419323	1000000	44938184	sbwt.escherichia_coli.k32.S_none.k_17.d_1
escherichia_coli.k32	0.1	bwa	prophasm	17	na	12419323	1000000	690026732	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na
escherichia_coli.k32	0.1	fmsi	global	19	na	13230839	1000000	27493787	fmsi.escherichia_coli.k32.S_global.k_19.d_na
escherichia_coli.k32	0.1	fmsi	local	19	1	13230839	1000000	78447899	fmsi.escherichia_coli.k32.S_local.k_19.d_1
escherichia_coli.k32	0.1	fmsi	local	19	2	13230839	1000000	71471627	fmsi.escherichia_coli.k32.S_local.k_19.d_2
escherichia_coli.k32	0.1	fmsi	local	19	3	13230839	1000000	65312899	fmsi.escherichia_coli.k32.S_local.k_19.d_3
escherichia_coli.k32	0.1	fmsi	local	19	4	13230839	1000000	59420219	fmsi.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	0.1	fmsi	local	19	5	13230839	1000000	53078139	fmsi.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	0.1	cbl	none	19	na	13230839	1000000	62538644	cbl.escherichia_coli.k32.S_none.k_19.d_na
escherichia_coli.k32	0.1	sbwt	none	19	0	13230839	1000000	115851496	sbwt.escherichia_coli.k32.S_none.k_19.d_0
escherichia_coli.k32	0.1	sbwt	none	19	1	13230839	1000000	63470720	sbwt.escherichia_coli.k32.S_none.k_19.d_1
escherichia_coli.k32	0.1	bwa	prophasm	19	na	13230839	1000000	784010697	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	0.1	fmsi	global	21	na	13792900	1000000	32861787	fmsi.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	0.1	fmsi	local	21	1	13792900	1000000	89341091	fmsi.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	0.1	fmsi	local	21	2	13792900	1000000	81538539	fmsi.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	0.1	fmsi	local	21	3	13792900	1000000	74902747	fmsi.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	0.1	fmsi	local	21	4	13792900	1000000	69149691	fmsi.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	0.1	fmsi	local	21	5	13792900	1000000	64144179	fmsi.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	0.1	cbl	none	21	na	13792900	1000000	64626801	cbl.escherichia_coli.k32.S_none.k_21.d_na
escherichia_coli.k32	0.1	sbwt	none	21	0	13792900	1000000	152050152	sbwt.escherichia_coli.k32.S_none.k_21.d_0
escherichia_coli.k32	0.1	sbwt	none	21	1	13792900	1000000	82484328	sbwt.escherichia_coli.k32.S_none.k_21.d_1
escherichia_coli.k32	0.1	bwa	prophasm	21	na	13792900	1000000	862544521	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	0.1	fmsi	global	23	na	14307368	1000000	37572219	fmsi.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	0.1	fmsi	local	23	1	14307368	1000000	100832411	fmsi.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	0.1	fmsi	local	23	2	14307368	1000000	91939163	fmsi.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	0.1	fmsi	local	23	3	14307368	1000000	84245707	fmsi.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	0.1	fmsi	local	23	4	14307368	1000000	77800915	fmsi.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	0.1	fmsi	local	23	5	14307368	1000000	72310691	fmsi.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	0.1	cbl	none	23	na	14307368	1000000	80900560	cbl.escherichia_coli.k32.S_none.k_23.d_na
escherichia_coli.k32	0.1	sbwt	none	23	0	14307368	1000000	190085008	sbwt.escherichia_coli.k32.S_none.k_23.d_0
escherichia_coli.k32	0.1	sbwt	none	23	1	14307368	1000000	102424296	sbwt.escherichia_coli.k32.S_none.k_23.d_1
escherichia_coli.k32	0.1	bwa	prophasm	23	na	14307368	1000000	941026124	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	0.1	fmsi	global	31	na	16229893	1000000	52419027	fmsi.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	0.1	fmsi	local	31	1	16229893	1000000	149633267	fmsi.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	0.1	fmsi	local	31	2	16229893	1000000	136138811	fmsi.escherichia_coli.k32.S_local.k_31.d_2
escherichia_coli.k32	0.1	fmsi	local	31	3	16229893	1000000	124515795	fmsi.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	0.1	fmsi	local	31	4	16229893	1000000	114445003	fmsi.escherichia_coli.k32.S_local.k_31.d_4
escherichia_coli.k32	0.1	fmsi	local	31	5	16229893	1000000	105756067	fmsi.escherichia_coli.k32.S_local.k_31.d_5
escherichia_coli.k32	0.1	cbl	none	31	na	16229893	1000000	122315928	cbl.escherichia_coli.k32.S_none.k_31.d_na
escherichia_coli.k32	0.1	sbwt	none	31	0	16229893	1000000	360846728	sbwt.escherichia_coli.k32.S_none.k_31.d_0
escherichia_coli.k32	0.1	sbwt	none	31	1	16229893	1000000	192059144	sbwt.escherichia_coli.k32.S_none.k_31.d_1
escherichia_coli.k32	0.1	bwa	prophasm	31	na	16229893	1000000	1275439227	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na
escherichia_coli.k32	1.0	fmsi	global	15	na	97584193	1000000	46478587	fmsi.escherichia_coli.k32.S_global.k_15.d_na
escherichia_coli.k32	1.0	fmsi	local	15	1	97584193	1000000	102185555	fmsi.escherichia_coli.k32.S_local.k_15.d_1
escherichia_coli.k32	1.0	fmsi	local	15	2	97584193	1000000	75719115	fmsi.escherichia_coli.k32.S_local.k_15.d_2
escherichia_coli.k32	1.0	fmsi	local	15	3	97584193	1000000	64992323	fmsi.escherichia_coli.k32.S_local.k_15.d_3
escherichia_coli.k32	1.0	fmsi	local	15	4	97584193	1000000	59410179	fmsi.escherichia_coli.k32.S_local.k_15.d_4
escherichia_coli.k32	1.0	fmsi	local	15	5	97584193	1000000	56796099	fmsi.escherichia_coli.k32.S_local.k_15.d_5
escherichia_coli.k32	1.0	cbl	none	15	na	97584193	1000000	302810325	cbl.escherichia_coli.k32.S_none.k_15.d_na
escherichia_coli.k32	1.0	sbwt	none	15	0	97584193	1000000	129199264	sbwt.escherichia_coli.k32.S_none.k_15.d_0
escherichia_coli.k32	1.0	sbwt	none	15	1	97584193	1000000	82792144	sbwt.escherichia_coli.k32.S_none.k_15.d_1
escherichia_coli.k32	1.0	bwa	prophasm	15	na	97584193	1000000	624389403	bwa.escherichia_coli.k32.S_prophasm.k_15.d_na
escherichia_coli.k32	1.0	fmsi	global	17	na	124193235	1000000	51313339	fmsi.escherichia_coli.k32.S_global.k_17.d_na
escherichia_coli.k32	1.0	fmsi	local	17	1	124193235	1000000	80056099	fmsi.escherichia_coli.k32.S_local.k_17.d_1
escherichia_coli.k32	1.0	fmsi	local	17	2	124193235	1000000	69396443	fmsi.escherichia_coli.k32.S_local.k_17.d_2
escherichia_coli.k32	1.0	fmsi	local	17	3	124193235	1000000	66845771	fmsi.escherichia_coli.k32.S_local.k_17.d_3
escherichia_coli.k32	1.0	fmsi	local	17	4	124193235	1000000	66442291	fmsi.escherichia_coli.k32.S_local.k_17.d_4
escherichia_coli.k32	1.0	fmsi	local	17	5	124193235	1000000	65990171	fmsi.escherichia_coli.k32.S_local.k_17.d_5
escherichia_coli.k32	1.0	cbl	none	17	na	124193235	1000000	382476922	cbl.escherichia_coli.k32.S_none.k_17.d_na
escherichia_coli.k32	1.0	sbwt	none	17	0	124193235	1000000	164266288	sbwt.escherichia_coli.k32.S_none.k_17.d_0
escherichia_coli.k32	1.0	sbwt	none	17	1	124193235	1000000	98374664	sbwt.escherichia_coli.k32.S_none.k_17.d_1
escherichia_coli.k32	1.0	bwa	prophasm	17	na	124193235	1000000	454641781	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na
escherichia_coli.k32	1.0	fmsi	global	19	na	132308392	1000000	54292979	fmsi.escherichia_coli.k32.S_global.k_19.d_na
escherichia_coli.k32	1.0	fmsi	local	19	1	132308392	1000000	73241387	fmsi.escherichia_coli.k32.S_local.k_19.d_1
escherichia_coli.k32	1.0	fmsi	local	19	2	132308392	1000000	70233467	fmsi.escherichia_coli.k32.S_local.k_19.d_2
escherichia_coli.k32	1.0	fmsi	local	19	3	132308392	1000000	67210563	fmsi.escherichia_coli.k32.S_local.k_19.d_3
escherichia_coli.k32	1.0	fmsi	local	19	4	132308392	1000000	66586331	fmsi.escherichia_coli.k32.S_local.k_19.d_4
escherichia_coli.k32	1.0	fmsi	local	19	5	132308392	1000000	66782099	fmsi.escherichia_coli.k32.S_local.k_19.d_5
escherichia_coli.k32	1.0	cbl	none	19	na	132308392	1000000	538750505	cbl.escherichia_coli.k32.S_none.k_19.d_na
escherichia_coli.k32	1.0	sbwt	none	19	0	132308392	1000000	175007656	sbwt.escherichia_coli.k32.S_none.k_19.d_0
escherichia_coli.k32	1.0	sbwt	none	19	1	132308392	1000000	103891824	sbwt.escherichia_coli.k32.S_none.k_19.d_1
escherichia_coli.k32	1.0	bwa	prophasm	19	na	132308392	1000000	397434824	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na
escherichia_coli.k32	1.0	fmsi	global	21	na	137929009	1000000	57262899	fmsi.escherichia_coli.k32.S_global.k_21.d_na
escherichia_coli.k32	1.0	fmsi	local	21	1	137929009	1000000	73393675	fmsi.escherichia_coli.k32.S_local.k_21.d_1
escherichia_coli.k32	1.0	fmsi	local	21	2	137929009	1000000	71377131	fmsi.escherichia_coli.k32.S_local.k_21.d_2
escherichia_coli.k32	1.0	fmsi	local	21	3	137929009	1000000	70056643	fmsi.escherichia_coli.k32.S_local.k_21.d_3
escherichia_coli.k32	1.0	fmsi	local	21	4	137929009	1000000	68424971	fmsi.escherichia_coli.k32.S_local.k_21.d_4
escherichia_coli.k32	1.0	fmsi	local	21	5	137929009	1000000	67892347	fmsi.escherichia_coli.k32.S_local.k_21.d_5
escherichia_coli.k32	1.0	cbl	none	21	na	137929009	1000000	561390529	cbl.escherichia_coli.k32.S_none.k_21.d_na
escherichia_coli.k32	1.0	sbwt	none	21	0	137929009	1000000	182457568	sbwt.escherichia_coli.k32.S_none.k_21.d_0
escherichia_coli.k32	1.0	sbwt	none	21	1	137929009	1000000	108214368	sbwt.escherichia_coli.k32.S_none.k_21.d_1
escherichia_coli.k32	1.0	bwa	prophasm	21	na	137929009	1000000	389471918	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na
escherichia_coli.k32	1.0	fmsi	global	23	na	143073681	1000000	60871899	fmsi.escherichia_coli.k32.S_global.k_23.d_na
escherichia_coli.k32	1.0	fmsi	local	23	1	143073681	1000000	78758939	fmsi.escherichia_coli.k32.S_local.k_23.d_1
escherichia_coli.k32	1.0	fmsi	local	23	2	143073681	1000000	74827003	fmsi.escherichia_coli.k32.S_local.k_23.d_2
escherichia_coli.k32	1.0	fmsi	local	23	3	143073681	1000000	73435339	fmsi.escherichia_coli.k32.S_local.k_23.d_3
escherichia_coli.k32	1.0	fmsi	local	23	4	143073681	1000000	72515179	fmsi.escherichia_coli.k32.S_local.k_23.d_4
escherichia_coli.k32	1.0	fmsi	local	23	5	143073681	1000000	71167171	fmsi.escherichia_coli.k32.S_local.k_23.d_5
escherichia_coli.k32	1.0	cbl	none	23	na	143073681	1000000	724860158	cbl.escherichia_coli.k32.S_none.k_23.d_na
escherichia_coli.k32	1.0	sbwt	none	23	0	143073681	1000000	189280136	sbwt.escherichia_coli.k32.S_none.k_23.d_0
escherichia_coli.k32	1.0	sbwt	none	23	1	143073681	1000000	112380264	sbwt.escherichia_coli.k32.S_none.k_23.d_1
escherichia_coli.k32	1.0	bwa	prophasm	23	na	143073681	1000000	414061610	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na
escherichia_coli.k32	1.0	fmsi	global	31	na	162298937	1000000	73211075	fmsi.escherichia_coli.k32.S_global.k_31.d_na
escherichia_coli.k32	1.0	fmsi	local	31	1	162298937	1000000	91807939	fmsi.escherichia_coli.k32.S_local.k_31.d_1
escherichia_coli.k32	1.0	fmsi	local	31	2	162298937	1000000	89570939	fmsi.escherichia_coli.k32.S_local.k_31.d_2
escherichia_coli.k32	1.0	fmsi	local	31	3	162298937	1000000	86485371	fmsi.escherichia_coli.k32.S_local.k_31.d_3
escherichia_coli.k32	1.0	fmsi	local	31	4	162298937	1000000	85344419	fmsi.escherichia_coli.k32.S_local.k_31.d_4
escherichia_coli.k32	1.0	fmsi	local	31	5	162298937	1000000	84390635	fmsi.escherichia_coli.k32.S_local.k_31.d_5
escherichia_coli.k32	1.0	cbl	none	31	na	162298937	1000000	1148476959	cbl.escherichia_coli.k32.S_none.k_31.d_na
escherichia_coli.k32	1.0	sbwt	none	31	0	162298937	1000000	214801752	sbwt.escherichia_coli.k32.S_none.k_31.d_0
escherichia_coli.k32	1.0	sbwt	none	31	1	162298937	1000000	134554960	sbwt.escherichia_coli.k32.S_none.k_31.d_1
escherichia_coli.k32	1.0	bwa	prophasm	31	na	162298937	1000000	466238457	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	global	15	na	48164	1000000	122187	fmsi.sars-cov-2_pangenome_k32.S_global.k_15.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	local	15	1	48164	1000000	244107	fmsi.sars-cov-2_pangenome_k32.S_local.k_15.d_1
sars-cov-2_pangenome_k32	0.01	fmsi	local	15	2	48164	1000000	240659	fmsi.sars-cov-2_pangenome_k32.S_local.k_15.d_2
sars-cov-2_pangenome_k32	0.01	fmsi	local	15	3	48164	1000000	234259	fmsi.sars-cov-2_pangenome_k32.S_local.k_15.d_3
sars-cov-2_pangenome_k32	0.01	fmsi	local	15	4	48164	1000000	223547	fmsi.sars-cov-2_pangenome_k32.S_local.k_15.d_4
sars-cov-2_pangenome_k32	0.01	fmsi	local	15	5	48164	1000000	205307	fmsi.sars-cov-2_pangenome_k32.S_local.k_15.d_5
sars-cov-2_pangenome_k32	0.01	cbl	none	15	na	48164	1000000	455189	cbl.sars-cov-2_pangenome_k32.S_none.k_15.d_na
sars-cov-2_pangenome_k32	0.01	sbwt	none	15	0	48164	1000000	1497800	sbwt.sars-cov-2_pangenome_k32.S_none.k_15.d_0
sars-cov-2_pangenome_k32	0.01	sbwt	none	15	1	48164	1000000	1286608	sbwt.sars-cov-2_pangenome_k32.S_none.k_15.d_1
sars-cov-2_pangenome_k32	0.01	bwa	prophasm	15	na	48164	1000000	2564071	bwa.sars-cov-2_pangenome_k32.S_prophasm.k_15.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	global	17	na	56590	1000000	169595	fmsi.sars-cov-2_pangenome_k32.S_global.k_17.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	local	17	1	56590	1000000	318499	fmsi.sars-cov-2_pangenome_k32.S_local.k_17.d_1
sars-cov-2_pangenome_k32	0.01	fmsi	local	17	2	56590	1000000	314331	fmsi.sars-cov-2_pangenome_k32.S_local.k_17.d_2
sars-cov-2_pangenome_k32	0.01	fmsi	local	17	3	56590	1000000	308771	fmsi.sars-cov-2_pangenome_k32.S_local.k_17.d_3
sars-cov-2_pangenome_k32	0.01	fmsi	local	17	4	56590	1000000	301075	fmsi.sars-cov-2_pangenome_k32.S_local.k_17.d_4
sars-cov-2_pangenome_k32	0.01	fmsi	local	17	5	56590	1000000	290883	fmsi.sars-cov-2_pangenome_k32.S_local.k_17.d_5
sars-cov-2_pangenome_k32	0.01	cbl	none	17	na	56590	1000000	522467	cbl.sars-cov-2_pangenome_k32.S_none.k_17.d_na
sars-cov-2_pangenome_k32	0.01	sbwt	none	17	0	56590	1000000	1703048	sbwt.sars-cov-2_pangenome_k32.S_none.k_17.d_0
sars-cov-2_pangenome_k32	0.01	sbwt	none	17	1	56590	1000000	1393088	sbwt.sars-cov-2_pangenome_k32.S_none.k_17.d_1
sars-cov-2_pangenome_k32	0.01	bwa	prophasm	17	na	56590	1000000	3215880	bwa.sars-cov-2_pangenome_k32.S_prophasm.k_17.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	global	19	na	64491	1000000	221755	fmsi.sars-cov-2_pangenome_k32.S_global.k_19.d_na
sars-cov-2_pangenome_k32	0.01	fmsi	local	19	1	64491	1000000	399115	fmsi.sars-cov-2_pangenome_k32.S_local.k_19.d_1
sars-cov-2_pangenome_k32	0.01	fmsi	local	19	2	64491	1000000	394067	fmsi.sars-cov-2_pangenome_k32.S_local.k_19.d_2
sars-cov-2_pangenome_k32	0.01	fmsi	local	19	3	64491	1000000	387947	fmsi.sars-cov-2_pangenome_k32.S_local.k_19.d_3
sars-cov-2_pangenome_k32	0.01	fmsi	local	19	4	64491	1000000	379379	fmsi.sars-cov-2_pangenome_k32.S_local.k_19.d_4
sars-cov-2_pangenome_k32	0.01	fmsi	local	19	5	64491	1000000	369595	fmsi.sars-cov-2_pangenome_k32.S_local.k_19.d_5
sars-cov-2_pangenome_k32	0.01	cbl	none	19	na	64491	1000000	638672	cbl.sars-cov-2_pangenome_k32.S_none.k_19.d_na
