genome	rate	I_alg	S_alg	k	d	kmer_count	num_queries	index_bytes	pref	Q_time_s	Q_mem_kb	qType	SI_time_s	SI_mem_kb
escherichia_coli.k32	0.01	sbwt	none	15	0	975841	1000000	7679216	sbwt.escherichia_coli.k32.S_none.k_15.d_0	0.47	36664	Neg	32.96	619560
escherichia_coli.k32	0.01	sbwt	none	15	0	975841	1000000	7679216	sbwt.escherichia_coli.k32.S_none.k_15.d_0	0.61	36664	Pos	32.96	619560
escherichia_coli.k32	0.01	sbwt	none	15	1	975841	1000000	4612528	sbwt.escherichia_coli.k32.S_none.k_15.d_1	0.86	33760	0	13.92	312768
escherichia_coli.k32	0.01	sbwt	none	15	1	975841	1000000	4612528	sbwt.escherichia_coli.k32.S_none.k_15.d_1	0.84	33760	Neg	13.92	312768
escherichia_coli.k32	0.01	sbwt	none	15	1	975841	1000000	4612528	sbwt.escherichia_coli.k32.S_none.k_15.d_1	1	33760	Pos	13.92	312768
escherichia_coli.k32	0.01	na	prophasm	15	na	na	na	na	na	na	na	na	na	na
escherichia_coli.k32	0.01	bwa	prophasm	17	na	1241932	1000000	74097868	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na	4.58	157472	0	13.82	216800
escherichia_coli.k32	0.01	bwa	prophasm	17	na	1241932	1000000	74097868	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na	4.5	157472	Neg	13.82	216800
escherichia_coli.k32	0.01	bwa	prophasm	17	na	1241932	1000000	74097868	bwa.escherichia_coli.k32.S_prophasm.k_17.d_na	6.3500000000000005	157472	Pos	13.82	216800
escherichia_coli.k32	0.01	cbl	none	17	na	1241932	1000000	8806465	cbl.escherichia_coli.k32.S_none.k_17.d_na	0.63	56976	0	0.98	57200
escherichia_coli.k32	0.01	cbl	none	17	na	1241932	1000000	8806465	cbl.escherichia_coli.k32.S_none.k_17.d_na	0.59	56976	Neg	0.98	57200
escherichia_coli.k32	0.01	cbl	none	17	na	1241932	1000000	8806465	cbl.escherichia_coli.k32.S_none.k_17.d_na	0.72	56976	Pos	0.98	57200
escherichia_coli.k32	0.01	fmsi	global	17	na	1241932	1000000	3054531	fmsi.escherichia_coli.k32.S_global.k_17.d_na	22.74	6496	0	11.5	156940
escherichia_coli.k32	0.01	fmsi	global	17	na	1241932	1000000	3054531	fmsi.escherichia_coli.k32.S_global.k_17.d_na	21.959999999999997	6496	Neg	11.5	156940
escherichia_coli.k32	0.01	fmsi	global	17	na	1241932	1000000	3054531	fmsi.escherichia_coli.k32.S_global.k_17.d_na	27.180000000000003	6496	Pos	11.5	156940
escherichia_coli.k32	0.01	fmsi	local	17	1	1241932	1000000	7160115	fmsi.escherichia_coli.k32.S_local.k_17.d_1	24.48	10552	0	16.8	403652
escherichia_coli.k32	0.01	fmsi	local	17	1	1241932	1000000	7160115	fmsi.escherichia_coli.k32.S_local.k_17.d_1	23.51	10380	Neg	16.8	403652
escherichia_coli.k32	0.01	fmsi	local	17	1	1241932	1000000	7160115	fmsi.escherichia_coli.k32.S_local.k_17.d_1	28.35	10380	Pos	16.8	403652
escherichia_coli.k32	0.01	fmsi	local	17	2	1241932	1000000	7071835	fmsi.escherichia_coli.k32.S_local.k_17.d_2	24.45	10380	0	18.75	398796
escherichia_coli.k32	0.01	fmsi	local	17	2	1241932	1000000	7071835	fmsi.escherichia_coli.k32.S_local.k_17.d_2	23.790000000000003	10380	Neg	18.75	398796
escherichia_coli.k32	0.01	fmsi	local	17	2	1241932	1000000	7071835	fmsi.escherichia_coli.k32.S_local.k_17.d_2	28.360000000000003	10380	Pos	18.75	398796
escherichia_coli.k32	0.01	fmsi	local	17	3	1241932	1000000	6926363	fmsi.escherichia_coli.k32.S_local.k_17.d_3	24.27	10116	0	26.81	388388
escherichia_coli.k32	0.01	fmsi	local	17	3	1241932	1000000	6926363	fmsi.escherichia_coli.k32.S_local.k_17.d_3	23.52	10116	Neg	26.81	388388
escherichia_coli.k32	0.01	fmsi	local	17	3	1241932	1000000	6926363	fmsi.escherichia_coli.k32.S_local.k_17.d_3	29.040000000000003	10116	Pos	26.81	388388
escherichia_coli.k32	0.01	fmsi	local	17	4	1241932	1000000	6609563	fmsi.escherichia_coli.k32.S_local.k_17.d_4	24.24	9852	0	57.550000000000004	370280
escherichia_coli.k32	0.01	fmsi	local	17	4	1241932	1000000	6609563	fmsi.escherichia_coli.k32.S_local.k_17.d_4	23.48	9852	Neg	57.550000000000004	370280
escherichia_coli.k32	0.01	fmsi	local	17	4	1241932	1000000	6609563	fmsi.escherichia_coli.k32.S_local.k_17.d_4	28.28	9852	Pos	57.550000000000004	370280
escherichia_coli.k32	0.01	fmsi	local	17	5	1241932	1000000	5927475	fmsi.escherichia_coli.k32.S_local.k_17.d_5	24.69	9324	0	161.65	329544
escherichia_coli.k32	0.01	fmsi	local	17	5	1241932	1000000	5927475	fmsi.escherichia_coli.k32.S_local.k_17.d_5	23.53	9324	Neg	161.65	329544
escherichia_coli.k32	0.01	fmsi	local	17	5	1241932	1000000	5927475	fmsi.escherichia_coli.k32.S_local.k_17.d_5	28.19	9324	Pos	161.65	329544
escherichia_coli.k32	0.01	sbwt	none	17	0	1241932	1000000	12349072	sbwt.escherichia_coli.k32.S_none.k_17.d_0	0.55	41084	0	42.96	875692
escherichia_coli.k32	0.01	sbwt	none	17	0	1241932	1000000	12349072	sbwt.escherichia_coli.k32.S_none.k_17.d_0	0.54	41084	Neg	42.96	875692
escherichia_coli.k32	0.01	sbwt	none	17	0	1241932	1000000	12349072	sbwt.escherichia_coli.k32.S_none.k_17.d_0	0.74	41084	Pos	42.96	875692
escherichia_coli.k32	0.01	sbwt	none	17	1	1241932	1000000	7017968	sbwt.escherichia_coli.k32.S_none.k_17.d_1	0.96	35872	0	20.61	459068
escherichia_coli.k32	0.01	sbwt	none	17	1	1241932	1000000	7017968	sbwt.escherichia_coli.k32.S_none.k_17.d_1	0.9400000000000001	35872	Neg	20.61	459068
escherichia_coli.k32	0.01	sbwt	none	17	1	1241932	1000000	7017968	sbwt.escherichia_coli.k32.S_none.k_17.d_1	1.17	35872	Pos	20.61	459068
escherichia_coli.k32	0.01	na	prophasm	17	na	na	na	na	na	na	na	na	na	na
escherichia_coli.k32	0.01	bwa	prophasm	19	na	1323083	1000000	83748809	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na	5.92	171544	0	16.03	278500
escherichia_coli.k32	0.01	bwa	prophasm	19	na	1323083	1000000	83748809	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na	5.300000000000001	171544	Neg	16.03	278500
escherichia_coli.k32	0.01	bwa	prophasm	19	na	1323083	1000000	83748809	bwa.escherichia_coli.k32.S_prophasm.k_19.d_na	6.72	171544	Pos	16.03	278500
escherichia_coli.k32	0.01	cbl	none	19	na	1323083	1000000	10406951	cbl.escherichia_coli.k32.S_none.k_19.d_na	0.67	57412	0	1.06	57460
escherichia_coli.k32	0.01	cbl	none	19	na	1323083	1000000	10406951	cbl.escherichia_coli.k32.S_none.k_19.d_na	0.63	57412	Neg	1.06	57460
escherichia_coli.k32	0.01	cbl	none	19	na	1323083	1000000	10406951	cbl.escherichia_coli.k32.S_none.k_19.d_na	0.75	57412	Pos	1.06	57460
escherichia_coli.k32	0.01	fmsi	global	19	na	1323083	1000000	4030451	fmsi.escherichia_coli.k32.S_global.k_19.d_na	23.8	7484	0	15.829999999999998	214256
escherichia_coli.k32	0.01	fmsi	global	19	na	1323083	1000000	4030451	fmsi.escherichia_coli.k32.S_global.k_19.d_na	22.98	7484	Neg	15.829999999999998	214256
escherichia_coli.k32	0.01	fmsi	global	19	na	1323083	1000000	4030451	fmsi.escherichia_coli.k32.S_global.k_19.d_na	30.01	7484	Pos	15.829999999999998	214256
escherichia_coli.k32	0.01	fmsi	local	19	1	1323083	1000000	8421195	fmsi.escherichia_coli.k32.S_local.k_19.d_1	25.34	11704	0	20.36	478460
escherichia_coli.k32	0.01	fmsi	local	19	1	1323083	1000000	8421195	fmsi.escherichia_coli.k32.S_local.k_19.d_1	24.43	11704	Neg	20.36	478460
escherichia_coli.k32	0.01	fmsi	local	19	1	1323083	1000000	8421195	fmsi.escherichia_coli.k32.S_local.k_19.d_1	31.58	11756	Pos	20.36	478460
escherichia_coli.k32	0.01	fmsi	local	19	2	1323083	1000000	8343747	fmsi.escherichia_coli.k32.S_local.k_19.d_2	26.5	11688	0	22.700000000000003	474192
escherichia_coli.k32	0.01	fmsi	local	19	2	1323083	1000000	8343747	fmsi.escherichia_coli.k32.S_local.k_19.d_2	24.14	11688	Neg	22.700000000000003	474192
escherichia_coli.k32	0.01	fmsi	local	19	2	1323083	1000000	8343747	fmsi.escherichia_coli.k32.S_local.k_19.d_2	30.96	11688	Pos	22.700000000000003	474192
escherichia_coli.k32	0.01	fmsi	local	19	3	1323083	1000000	8261411	fmsi.escherichia_coli.k32.S_local.k_19.d_3	26.090000000000003	11612	0	32.29	467512
escherichia_coli.k32	0.01	fmsi	local	19	3	1323083	1000000	8261411	fmsi.escherichia_coli.k32.S_local.k_19.d_3	23.96	11440	Neg	32.29	467512
escherichia_coli.k32	0.01	fmsi	local	19	3	1323083	1000000	8261411	fmsi.escherichia_coli.k32.S_local.k_19.d_3	31.35	11440	Pos	32.29	467512
escherichia_coli.k32	0.01	fmsi	local	19	4	1323083	1000000	8161355	fmsi.escherichia_coli.k32.S_local.k_19.d_4	24.99	11436	0	70.11	461724
escherichia_coli.k32	0.01	fmsi	local	19	4	1323083	1000000	8161355	fmsi.escherichia_coli.k32.S_local.k_19.d_4	23.84	11436	Neg	70.11	461724
escherichia_coli.k32	0.01	fmsi	local	19	4	1323083	1000000	8161355	fmsi.escherichia_coli.k32.S_local.k_19.d_4	30.85	11436	Pos	70.11	461724
escherichia_coli.k32	0.01	fmsi	local	19	5	1323083	1000000	7996875	fmsi.escherichia_coli.k32.S_local.k_19.d_5	25.060000000000002	11172	0	212.53	452144
escherichia_coli.k32	0.01	fmsi	local	19	5	1323083	1000000	7996875	fmsi.escherichia_coli.k32.S_local.k_19.d_5	24.19	11172	Neg	212.53	452144
escherichia_coli.k32	0.01	fmsi	local	19	5	1323083	1000000	7996875	fmsi.escherichia_coli.k32.S_local.k_19.d_5	31.060000000000002	11172	Pos	212.53	452144
escherichia_coli.k32	0.01	sbwt	none	19	0	1323083	1000000	16410864	sbwt.escherichia_coli.k32.S_none.k_19.d_0	0.62	45172	0	53.599999999999994	953436
escherichia_coli.k32	0.01	sbwt	none	19	0	1323083	1000000	16410864	sbwt.escherichia_coli.k32.S_none.k_19.d_0	0.56	45172	Neg	53.599999999999994	953436
escherichia_coli.k32	0.01	sbwt	none	19	0	1323083	1000000	16410864	sbwt.escherichia_coli.k32.S_none.k_19.d_0	0.9400000000000001	45172	Pos	53.599999999999994	953436
escherichia_coli.k32	0.01	sbwt	none	19	1	1323083	1000000	9078720	sbwt.escherichia_coli.k32.S_none.k_19.d_1	1.3	37984	0	25.3	497980
escherichia_coli.k32	0.01	sbwt	none	19	1	1323083	1000000	9078720	sbwt.escherichia_coli.k32.S_none.k_19.d_1	0.98	37984	Neg	25.3	497980
escherichia_coli.k32	0.01	sbwt	none	19	1	1323083	1000000	9078720	sbwt.escherichia_coli.k32.S_none.k_19.d_1	1.3	37984	Pos	25.3	497980
escherichia_coli.k32	0.01	na	prophasm	19	na	na	na	na	na	na	na	na	na	na
escherichia_coli.k32	0.01	bwa	prophasm	21	na	1379290	1000000	92230990	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na	6.95	182780	0	19.78	155724
escherichia_coli.k32	0.01	bwa	prophasm	21	na	1379290	1000000	92230990	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na	6.63	182780	Neg	19.78	155724
escherichia_coli.k32	0.01	bwa	prophasm	21	na	1379290	1000000	92230990	bwa.escherichia_coli.k32.S_prophasm.k_21.d_na	7.39	182780	Pos	19.78	155724
escherichia_coli.k32	0.01	cbl	none	21	na	1379290	1000000	10562010	cbl.escherichia_coli.k32.S_none.k_21.d_na	0.68	56820	0	1.1	57192
escherichia_coli.k32	0.01	cbl	none	21	na	1379290	1000000	10562010	cbl.escherichia_coli.k32.S_none.k_21.d_na	0.65	56820	Neg	1.1	57192
escherichia_coli.k32	0.01	cbl	none	21	na	1379290	1000000	10562010	cbl.escherichia_coli.k32.S_none.k_21.d_na	0.76	56820	Pos	1.1	57192
escherichia_coli.k32	0.01	fmsi	global	21	na	1379290	1000000	4991915	fmsi.escherichia_coli.k32.S_global.k_21.d_na	25.080000000000002	8564	0	20.79	268564
escherichia_coli.k32	0.01	fmsi	global	21	na	1379290	1000000	4991915	fmsi.escherichia_coli.k32.S_global.k_21.d_na	23.55	8564	Neg	20.79	268564
escherichia_coli.k32	0.01	fmsi	global	21	na	1379290	1000000	4991915	fmsi.escherichia_coli.k32.S_global.k_21.d_na	32.300000000000004	8532	Pos	20.79	268564
escherichia_coli.k32	0.01	fmsi	local	21	1	1379290	1000000	9627211	fmsi.escherichia_coli.k32.S_local.k_21.d_1	25.44	12688	0	23.83	547644
escherichia_coli.k32	0.01	fmsi	local	21	1	1379290	1000000	9627211	fmsi.escherichia_coli.k32.S_local.k_21.d_1	24.28	12688	Neg	23.83	547644
escherichia_coli.k32	0.01	fmsi	local	21	1	1379290	1000000	9627211	fmsi.escherichia_coli.k32.S_local.k_21.d_1	32.85	12688	Pos	23.83	547644
escherichia_coli.k32	0.01	fmsi	local	21	2	1379290	1000000	9536659	fmsi.escherichia_coli.k32.S_local.k_21.d_2	25.19	12688	0	26.299999999999997	542732
escherichia_coli.k32	0.01	fmsi	local	21	2	1379290	1000000	9536659	fmsi.escherichia_coli.k32.S_local.k_21.d_2	24.83	12688	Neg	26.299999999999997	542732
escherichia_coli.k32	0.01	fmsi	local	21	2	1379290	1000000	9536659	fmsi.escherichia_coli.k32.S_local.k_21.d_2	37.419999999999995	12688	Pos	26.299999999999997	542732
escherichia_coli.k32	0.01	fmsi	local	21	3	1379290	1000000	9453203	fmsi.escherichia_coli.k32.S_local.k_21.d_3	25.14	12688	0	36.56	538036
escherichia_coli.k32	0.01	fmsi	local	21	3	1379290	1000000	9453203	fmsi.escherichia_coli.k32.S_local.k_21.d_3	24.1	12688	Neg	36.56	538036
escherichia_coli.k32	0.01	fmsi	local	21	3	1379290	1000000	9453203	fmsi.escherichia_coli.k32.S_local.k_21.d_3	32.690000000000005	12688	Pos	36.56	538036
escherichia_coli.k32	0.01	fmsi	local	21	4	1379290	1000000	9370411	fmsi.escherichia_coli.k32.S_local.k_21.d_4	25.24	12664	0	77.51	533360
escherichia_coli.k32	0.01	fmsi	local	21	4	1379290	1000000	9370411	fmsi.escherichia_coli.k32.S_local.k_21.d_4	24.14	12664	Neg	77.51	533360
escherichia_coli.k32	0.01	fmsi	local	21	4	1379290	1000000	9370411	fmsi.escherichia_coli.k32.S_local.k_21.d_4	33.21	12664	Pos	77.51	533360
escherichia_coli.k32	0.01	fmsi	local	21	5	1379290	1000000	9282971	fmsi.escherichia_coli.k32.S_local.k_21.d_5	25.049999999999997	12428	0	241.57999999999998	528296
escherichia_coli.k32	0.01	fmsi	local	21	5	1379290	1000000	9282971	fmsi.escherichia_coli.k32.S_local.k_21.d_5	24.08	12428	Neg	241.57999999999998	528296
escherichia_coli.k32	0.01	fmsi	local	21	5	1379290	1000000	9282971	fmsi.escherichia_coli.k32.S_local.k_21.d_5	32.910000000000004	12428	Pos	241.57999999999998	528296
escherichia_coli.k32	0.01	sbwt	none	21	0	1379290	1000000	20570944	sbwt.escherichia_coli.k32.S_none.k_21.d_0	0.72	49260	0	63.28	1053316
escherichia_coli.k32	0.01	sbwt	none	21	0	1379290	1000000	20570944	sbwt.escherichia_coli.k32.S_none.k_21.d_0	0.62	49260	Neg	63.28	1053316
escherichia_coli.k32	0.01	sbwt	none	21	0	1379290	1000000	20570944	sbwt.escherichia_coli.k32.S_none.k_21.d_0	1.17	49260	Pos	63.28	1053316
escherichia_coli.k32	0.01	sbwt	none	21	1	1379290	1000000	11182864	sbwt.escherichia_coli.k32.S_none.k_21.d_1	1.1	40096	0	29.76	548112
escherichia_coli.k32	0.01	sbwt	none	21	1	1379290	1000000	11182864	sbwt.escherichia_coli.k32.S_none.k_21.d_1	1.02	40096	Neg	29.76	548112
escherichia_coli.k32	0.01	sbwt	none	21	1	1379290	1000000	11182864	sbwt.escherichia_coli.k32.S_none.k_21.d_1	1.47	40096	Pos	29.76	548112
escherichia_coli.k32	0.01	na	prophasm	21	na	na	na	na	na	na	na	na	na	na
escherichia_coli.k32	0.01	bwa	prophasm	23	na	1430736	1000000	100763590	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na	7.82	193724	0	23.150000000000002	162980
escherichia_coli.k32	0.01	bwa	prophasm	23	na	1430736	1000000	100763590	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na	7.03	193724	Neg	23.150000000000002	162980
escherichia_coli.k32	0.01	bwa	prophasm	23	na	1430736	1000000	100763590	bwa.escherichia_coli.k32.S_prophasm.k_23.d_na	10.83	193724	Pos	23.150000000000002	162980
escherichia_coli.k32	0.01	cbl	none	23	na	1430736	1000000	12191691	cbl.escherichia_coli.k32.S_none.k_23.d_na	0.72	56920	0	1.21	57860
escherichia_coli.k32	0.01	cbl	none	23	na	1430736	1000000	12191691	cbl.escherichia_coli.k32.S_none.k_23.d_na	0.68	56920	Neg	1.21	57860
escherichia_coli.k32	0.01	cbl	none	23	na	1430736	1000000	12191691	cbl.escherichia_coli.k32.S_none.k_23.d_na	0.81	56920	Pos	1.21	57860
escherichia_coli.k32	0.01	fmsi	global	23	na	1430736	1000000	5978163	fmsi.escherichia_coli.k32.S_global.k_23.d_na	24.83	9324	0	25.93	329392
escherichia_coli.k32	0.01	fmsi	global	23	na	1430736	1000000	5978163	fmsi.escherichia_coli.k32.S_global.k_23.d_na	23.35	9324	Neg	25.93	329392
escherichia_coli.k32	0.01	fmsi	global	23	na	1430736	1000000	5978163	fmsi.escherichia_coli.k32.S_global.k_23.d_na	34.15	9324	Pos	25.93	329392
escherichia_coli.k32	0.01	fmsi	local	23	1	1430736	1000000	10865163	fmsi.escherichia_coli.k32.S_local.k_23.d_1	26.27	14008	0	27.630000000000003	621000
escherichia_coli.k32	0.01	fmsi	local	23	1	1430736	1000000	10865163	fmsi.escherichia_coli.k32.S_local.k_23.d_1	24.439999999999998	14008	Neg	27.630000000000003	621000
escherichia_coli.k32	0.01	fmsi	local	23	1	1430736	1000000	10865163	fmsi.escherichia_coli.k32.S_local.k_23.d_1	34.73	14008	Pos	27.630000000000003	621000
escherichia_coli.k32	0.01	fmsi	local	23	2	1430736	1000000	10764139	fmsi.escherichia_coli.k32.S_local.k_23.d_2	26.15	13744	0	30.01	615452
escherichia_coli.k32	0.01	fmsi	local	23	2	1430736	1000000	10764139	fmsi.escherichia_coli.k32.S_local.k_23.d_2	24.259999999999998	13744	Neg	30.01	615452
escherichia_coli.k32	0.01	fmsi	local	23	2	1430736	1000000	10764139	fmsi.escherichia_coli.k32.S_local.k_23.d_2	35.7	13960	Pos	30.01	615452
escherichia_coli.k32	0.01	fmsi	local	23	3	1430736	1000000	10667611	fmsi.escherichia_coli.k32.S_local.k_23.d_3	26.26	13872	0	41.21	610152
escherichia_coli.k32	0.01	fmsi	local	23	3	1430736	1000000	10667611	fmsi.escherichia_coli.k32.S_local.k_23.d_3	24.25	13744	Neg	41.21	610152
escherichia_coli.k32	0.01	fmsi	local	23	3	1430736	1000000	10667611	fmsi.escherichia_coli.k32.S_local.k_23.d_3	35.26	13744	Pos	41.21	610152
escherichia_coli.k32	0.01	fmsi	local	23	4	1430736	1000000	10574099	fmsi.escherichia_coli.k32.S_local.k_23.d_4	26.41	13744	0	87.25	604860
escherichia_coli.k32	0.01	fmsi	local	23	4	1430736	1000000	10574099	fmsi.escherichia_coli.k32.S_local.k_23.d_4	25.04	13744	Neg	87.25	604860
escherichia_coli.k32	0.01	fmsi	local	23	4	1430736	1000000	10574099	fmsi.escherichia_coli.k32.S_local.k_23.d_4	35.98	13792	Pos	87.25	604860
escherichia_coli.k32	0.01	fmsi	local	23	5	1430736	1000000	10483659	fmsi.escherichia_coli.k32.S_local.k_23.d_5	26.169999999999998	13708	0	256.14	598228
escherichia_coli.k32	0.01	fmsi	local	23	5	1430736	1000000	10483659	fmsi.escherichia_coli.k32.S_local.k_23.d_5	23.919999999999998	13708	Neg	256.14	598228
escherichia_coli.k32	0.01	fmsi	local	23	5	1430736	1000000	10483659	fmsi.escherichia_coli.k32.S_local.k_23.d_5	34.93	13708	Pos	256.14	598228
escherichia_coli.k32	0.01	sbwt	none	23	0	1430736	1000000	24945824	sbwt.escherichia_coli.k32.S_none.k_23.d_0	0.87	53416	0	74.65	1192156
escherichia_coli.k32	0.01	sbwt	none	23	0	1430736	1000000	24945824	sbwt.escherichia_coli.k32.S_none.k_23.d_0	0.75	53416	Neg	74.65	1192156
escherichia_coli.k32	0.01	sbwt	none	23	0	1430736	1000000	24945824	sbwt.escherichia_coli.k32.S_none.k_23.d_0	1.54	53416	Pos	74.65	1192156
escherichia_coli.k32	0.01	sbwt	none	23	1	1430736	1000000	13389208	sbwt.escherichia_coli.k32.S_none.k_23.d_1	1.6500000000000001	42140	0	41.68	618760
escherichia_coli.k32	0.01	sbwt	none	23	1	1430736	1000000	13389208	sbwt.escherichia_coli.k32.S_none.k_23.d_1	1.16	42140	Neg	41.68	618760
escherichia_coli.k32	0.01	sbwt	none	23	1	1430736	1000000	13389208	sbwt.escherichia_coli.k32.S_none.k_23.d_1	1.61	42140	Pos	41.68	618760
escherichia_coli.k32	0.01	na	prophasm	23	na	na	na	na	na	na	na	na	na	na
escherichia_coli.k32	0.01	bwa	prophasm	31	na	1622989	1000000	137111400	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na	13.19	238252	0	43.599999999999994	191348
escherichia_coli.k32	0.01	bwa	prophasm	31	na	1622989	1000000	137111400	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na	12.16	238252	Neg	43.599999999999994	191348
escherichia_coli.k32	0.01	bwa	prophasm	31	na	1622989	1000000	137111400	bwa.escherichia_coli.k32.S_prophasm.k_31.d_na	12.879999999999999	238252	Pos	43.599999999999994	191348
escherichia_coli.k32	0.01	cbl	none	31	na	1622989	1000000	16115938	cbl.escherichia_coli.k32.S_none.k_31.d_na	0.93	56360	0	1.6400000000000001	58700
escherichia_coli.k32	0.01	cbl	none	31	na	1622989	1000000	16115938	cbl.escherichia_coli.k32.S_none.k_31.d_na	0.86	56360	Neg	1.6400000000000001	58700
escherichia_coli.k32	0.01	cbl	none	31	na	1622989	1000000	16115938	cbl.escherichia_coli.k32.S_none.k_31.d_na	0.99	56360	Pos	1.6400000000000001	58700
escherichia_coli.k32	0.01	fmsi	global	31	na	1622989	1000000	10102451	fmsi.escherichia_coli.k32.S_global.k_31.d_na	28.340000000000003	13216	0	39.589999999999996	569992
escherichia_coli.k32	0.01	fmsi	global	31	na	1622989	1000000	10102451	fmsi.escherichia_coli.k32.S_global.k_31.d_na	24.77	13216	Neg	39.589999999999996	569992
escherichia_coli.k32	0.01	fmsi	global	31	na	1622989	1000000	10102451	fmsi.escherichia_coli.k32.S_global.k_31.d_na	44.6	13216	Pos	39.589999999999996	569992
